cycle,base,info,structural,incentives,combined,gain
149,7.29987557,19.74284529,10.03732891,13.3139776,46.86851929,18.37411863
150,7.092492742,19.57693903,10.09954376,13.58357528,46.30858565,17.23351306
151,7.196184156,19.63915388,9.912899212,13.08585649,47.01368727,18.768146
152,7.258399005,19.68063044,9.933637495,13.4384073,47.15885525,18.62297803
153,7.113231024,19.76358358,9.82994608,13.45914558,46.82704272,18.00082953
154,6.760680216,20.03318125,10.07880547,13.52136043,46.64039818,16.52841146
155,7.175445873,19.68063044,9.6847781,13.4384073,46.99294898,18.54002489
156,6.947324762,19.68063044,10.07880547,12.87847366,47.51140606,18.76814601
157,7.175445873,19.65989216,9.850684363,13.52136043,47.44919121,18.768146
158,6.947324762,20.01244297,10.26545002,13.47988387,47.49066777,17.62754043
159,6.822895064,19.88801327,10.09954376,13.62505185,47.55288262,17.58606387
160,7.092492742,20.11613438,9.933637495,12.91995023,47.94691,19.16217338
161,6.988801327,19.78432186,9.912899212,13.64579013,47.92617171,18.56076316
162,7.133969307,20.01244297,10.07880547,13.02364164,48.09207798,19.24512651
163,7.196184156,19.95022812,9.933637495,13.47988387,47.76026545,18.78888428
164,7.133969307,19.92948984,9.933637495,13.562837,47.67731232,18.5192866
165,6.885109913,19.84653671,10.05806719,13.47988387,47.51140606,17.89713812
166,6.968063044,19.9709664,10.01659063,12.96142679,47.8224803,18.80962257
167,7.071754459,20.30277893,10.01659063,13.54209871,47.94691,18.22895065
168,7.092492742,20.24056408,10.20323517,13.99834094,48.27872252,18.02156781
169,7.15470759,20.11613438,10.20323517,14.12277063,48.40315222,18.27042722
170,7.196184156,20.05391954,9.871422646,13.99834094,48.71422646,19.18291165
171,7.279137287,19.82579842,9.809207798,13.4384073,48.02986313,19.51472419
172,7.341352136,20.24056408,10.03732891,13.66652841,48.11281626,18.85109913
173,7.279137287,20.17834923,10.16175861,13.45914558,48.71422646,19.47324761
174,7.258399005,19.92948984,10.05806719,13.60431356,48.52758192,19.45250934
175,7.15470759,20.30277893,10.07880547,13.68726669,48.34093737,18.58150146
176,7.196184156,20.2198258,10.07880547,13.89464952,48.71422646,18.91331398
177,6.988801327,20.28204065,9.975114061,13.70800498,48.52758192,18.54002488
178,7.216922439,20.26130236,9.871422646,14.1642472,48.19576939,18.33264206
179,7.175445873,20.48942348,10.09954376,13.62505185,48.58979676,18.72666942
180,7.320613853,20.26130236,9.892160929,13.62505185,48.96308586,19.82579843
181,7.15470759,20.13687267,10.01659063,13.37619245,49.21194525,19.99170468
182,7.29987557,19.95022812,10.20323517,13.89464952,49.00456242,19.55620075
183,6.947324762,20.71754459,10.01659063,13.97760265,48.69348818,17.87639983
184,7.279137287,20.40647034,10.03732891,14.0398175,48.98382414,19.05848196
185,7.424305268,20.61385317,9.954375778,13.66652841,48.63127333,19.24512651
186,6.926586479,20.15761095,10.07880547,13.33471589,48.90087101,19.18291166
187,7.15470759,20.40647034,9.975114061,13.77021983,48.85939444,19.01700539
188,7.196184156,20.32351721,9.975114061,13.95686437,48.69348818,18.83036085
189,7.237660722,20.26130236,10.01659063,13.81169639,48.98382414,19.3695562
190,7.051016176,20.13687267,10.18249689,13.83243467,49.50228121,19.45250933
191,7.196184156,20.15761095,9.995852343,14.18498548,49.41932808,19.47324762
192,7.237660722,20.51016176,9.871422646,13.87391124,49.35711323,19.57693903
193,7.258399005,20.11613438,10.01659063,13.68726669,49.50228121,20.19908752
194,7.320613853,20.28204065,10.07880547,13.91538781,49.58523434,19.95022812
195,7.279137287,20.36499378,9.809207798,13.79095811,49.64744919,20.24056408
196,7.237660722,20.3442555,9.850684363,13.99834094,49.75114061,20.03318125
197,7.133969307,20.36499378,9.975114061,13.95686437,49.56449606,19.53546246
198,6.988801327,20.48942348,9.850684363,13.93612609,49.2741601,18.97552882
199,7.051016176,20.28204065,9.954375778,13.72874326,49.23268353,19.36955619
200,7.341352136,20.59311489,10.01659063,14.20572377,49.70966404,19.57693902
201,7.113231024,20.36499378,10.01659063,13.87391124,49.81335545,19.78432185
202,7.071754459,20.17834923,9.892160929,13.72874326,49.70966404,20.05391954
203,7.133969307,20.55163832,9.850684363,13.62505185,50.35255081,20.59311489
204,7.258399005,20.53090004,9.933637495,13.81169639,49.8755703,20.11613439
