cycle,inc_str_info,info_inc_str,str_info_inc
482,50.41476566,53.42181667,53.50476981
483,50.33181253,52.86188304,53.81584405
484,50.43550394,53.17295728,53.11074243
485,50.33181253,53.04852758,53.0277893
486,50.26959768,53.23517213,53.23517213
487,50.35255081,53.04852758,53.52550809
488,50.64288677,52.7789299,53.17295728
489,50.41476566,52.79966819,53.42181667
490,50.51845707,53.25591041,53.60846122
491,50.35255081,53.152219,53.09000415
492,50.53919535,53.35960182,53.40107839
493,50.78805475,53.60846122,53.6291995
494,50.64288677,53.38034011,53.0277893
495,50.45624222,53.19369556,52.82040647
496,50.37328909,52.86188304,53.11074243
497,50.22812111,53.67067607,53.13148071
498,50.39402737,53.19369556,53.23517213
499,50.18664455,52.94483617,52.69597677
500,50.55993364,53.25591041,53.11074243
501,50.70510162,53.48403152,53.33886354
502,50.6014102,53.42181667,53.13148071
503,50.55993364,53.35960182,53.27664869
504,50.18664455,53.23517213,53.38034011
505,50.6014102,53.09000415,53.29738698
506,50.43550394,52.9033596,53.04852758
507,50.58067192,53.29738698,53.48403152
508,50.70510162,53.17295728,53.09000415
509,50.10369141,53.13148071,53.42181667
510,50.6014102,52.9033596,53.31812526
511,50.41476566,53.33886354,53.25591041
512,50.22812111,53.29738698,53.19369556
513,50.45624222,53.50476981,53.09000415
514,50.02073828,53.79510577,52.88262132
515,50.51845707,53.23517213,52.75819162
516,50.31107424,52.9033596,53.11074243
517,50.33181253,52.88262132,53.23517213
518,50.43550394,52.98631273,53.38034011
519,50.47698051,53.38034011,53.52550809
520,51.05765243,53.11074243,53.23517213
521,50.93322273,53.60846122,53.48403152
522,50.58067192,53.54624637,53.50476981
523,50.7258399,53.60846122,53.04852758
524,50.78805475,53.0277893,53.54624637
525,50.53919535,53.27664869,53.13148071
526,50.35255081,53.0277893,53.25591041
527,50.55993364,53.17295728,52.75819162
528,50.02073828,53.42181667,52.82040647
529,50.66362505,53.35960182,52.65450021
530,50.47698051,53.09000415,53.50476981
531,50.49771879,53.29738698,52.96557445
532,50.29033596,53.27664869,53.50476981
533,50.33181253,53.29738698,53.27664869
534,50.53919535,53.152219,53.23517213
535,50.26959768,53.33886354,53.50476981
536,50.45624222,52.92409788,52.92409788
537,50.37328909,53.29738698,52.84114475
538,50.26959768,53.13148071,53.21443384
539,50.43550394,53.52550809,53.152219
540,50.31107424,53.04852758,53.13148071
541,50.22812111,53.09000415,53.04852758
542,50.43550394,53.17295728,53.152219
543,50.45624222,53.152219,53.0277893
544,50.58067192,52.92409788,53.42181667
545,50.70510162,53.46329324,53.17295728
546,50.43550394,53.46329324,53.23517213
547,50.43550394,53.11074243,53.21443384
548,50.31107424,53.23517213,52.46785566
549,50.49771879,53.58772294,52.9033596
550,50.39402737,53.38034011,53.04852758
551,50.49771879,53.17295728,52.61302364
552,50.6014102,53.73289092,53.06926586
553,50.31107424,53.64993779,53.09000415
