sort_frequency_habit,sort_frequency_nohabit
0.135678392,0.698492462
0.969849246,0.326633166
0.974874372,0.417085427
0.929648241,0.522613065
0.025125628,0.311557789
0.959798995,0.763819095
0.045226131,0.427135678
0.015075377,0.638190955
0.050251256,0.487437186
0.969849246,0.522613065
0.015075377,0.693467337
0,0.316582915
0.904522613,0.507537688
0.939698492,0.59798995
0.030150754,0.472361809
0.005025126,0.432160804
0.989949749,0.211055276
0,0.879396985
0.020100503,0.477386935
0,0.608040201
0.010050251,0.427135678
0,0.592964824
0.788944724,0
0.030150754,0.527638191
0.010050251,0.708542714
0.005025126,0.246231156
0.015075377,0.793969849
0.979899497,0.457286432
1,0.879396985
0.035175879,0.105527638
0,0.753768844
0.015075377,0.633165829
0.964824121,0.065326633
0.783919598,0.27638191
0.929648241,0.67839196
0.969849246,0.603015075
0.050251256,0.733668342
0.994974874,0.361809045
0,0.427135678
0.175879397,0.693467337
0,0.130653266
0,0.190954774
0.010050251,0.43718593
0.015075377,0.412060302
0,0.477386935
0.100502513,0.547738693
0,0.211055276
0.005025126,0.547738693
0,0.226130653
1,0.683417085
0.005025126,0.417085427
0.010050251,0.48241206
0,0.683417085
0.030150754,0.286432161
0.025125628,0.381909548
0.939698492,0.708542714
0.010050251,0.396984925
0.030150754,0.135678392
1,0.673366834
1,0.211055276
0.909547739,0.497487437
0.015075377,0.261306533
0.939698492,0.381909548
0.783919598,0.587939698
0.989949749,0.336683417
0,0.407035176
0.954773869,0.195979899
0.025125628,0.311557789
0.914572864,0.291457286
0,0.422110553
0.015075377,0.366834171
0.005025126,0.231155779
0,0.567839196
0.015075377,0.522613065
0.035175879,0.829145729
0.035175879,0.768844221
0.015075377,0.251256281
0.964824121,0.105527638
0.125628141,0.668341709
0,0.537688442
0.005025126,0.045226131
1,0.733668342
1,0.396984925
0,0.648241206
0.010050251,0.618090452
0.969849246,0.432160804
0.899497487,0.140703518
0.974874372,0.412060302
0.944723618,0.201005025
0.969849246,0.48241206
1,0.361809045
0.989949749,0.512562814
0,0.753768844
0.974874372,0.346733668
0.020100503,1
0.974874372,0.51758794
0.788944724,0.924623116
0.015075377,0.190954774
0.994974874,0.27638191
0.859296482,0.32160804
0.010050251,0.341708543
0.989949749,0.472361809
0.035175879,0.366834171
0,0.623115578
0.994974874,0.271356784
0.005025126,0.472361809
0.005025126,0.603015075
0.025125628,0.195979899
0.939698492,0.64321608
0.984924623,0.51758794
0.969849246,0.442211055
0.015075377,0.40201005
0.989949749,0.608040201
0.874371859,0.386934673
0.050251256,0.351758794
0.914572864,0.331658291
0,0.221105528
0.015075377,0.788944724
0.542713568,0.216080402
0.010050251,0.371859296
0.005025126,0.487437186
0.869346734,0.35678392
0.914572864,0.638190955
0.693467337,0.417085427
0.015075377,0.809045226
0.959798995,0.226130653
0.005025126,0.105527638
0.994974874,0.623115578
0.005025126,0.185929648
1,0.35678392
0.35678392,0.371859296
0.030150754,0.51758794
0.005025126,0.572864322
0,0.51758794
0.974874372,0.24120603
0.924623116,0.572864322
0.005025126,0.256281407
0.994974874,0.618090452
0.020100503,0.608040201
1,0.577889447
0,0.396984925
0.909547739,0.56281407
0.010050251,0.271356784
0,0.537688442
0.015075377,0.603015075
0.783919598,0.944723618
0.020100503,0.733668342
0,0.497487437
0.025125628,0.577889447
0.994974874,0.361809045
1,0.32160804
0.974874372,0.386934673
0.015075377,0.552763819
1,0.668341709
0.005025126,0.35678392
0.909547739,0.633165829
0.909547739,0.64321608
0.964824121,0.527638191
0.055276382,0.854271357
0.909547739,0.51758794
0,0.155778894
1,0.256281407
0.814070352,0.326633166
1,0.814070352
0,0.226130653
